route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
16275,3,90,תיכון המושבה/חלומות-זכרון יעקב<->בית ספר אלונים/הבנים-פרדס חנה כרכור-2#,35090-2-#,3,FF9933
16277,3,88,אליהו חכים/מאיר פיינשטיין-ירושלים<->אליהו חכים/מאיר פיינשטיין-ירושלים-3#,34088-3-#,3,
16283,3,782,רבי ישראל נג'ארה/יונתן בן עוזיאל-ירושלים<->דרוק/קהילות יעקב-ירושלים-1#,11782-1-#,3,FF9933
16289,3,21,פינלס/השזיף-זכרון יעקב<->תיכון המושבה/חלומות-זכרון יעקב-1#,49021-1-#,3,FF9933
16290,3,23,בית ספר נילי-זכרון יעקב<->תיכון המושבה/חלומות-זכרון יעקב-1#,43023-1-#,3,FF9933
16291,3,33,דרך למרחב/חשמונאים-פרדס חנה כרכור<->דרך הבנים/דרך משמרות-פרדס חנה כרכור-1#,35033-1-#,3,FF9933
16292,3,33,דרך הבנים/דרך משמרות-פרדס חנה כרכור<->עציון/דרך למרחב-פרדס חנה כרכור-2#,35033-2-#,3,FF9933
16293,3,55,תחייה/תקומה-פרדס חנה כרכור<->דרך הבנים/דרך משמרות-פרדס חנה כרכור-1#,42055-1-#,3,FF9933
16294,3,55,דרך הבנים/דרך משמרות-פרדס חנה כרכור<->עציון/דרך למרחב-פרדס חנה כרכור-2#,42055-2-#,3,FF9933
16302,3,800,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->ת. מרכזית ק''ש/הורדה-קרית שמונה-1#,11800-1-#,3,
16303,3,800,ת. מרכזית ק''ש/רציפים-קרית שמונה<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-2#,11800-2-#,3,
16304,3,145,ת. רכבת קרית אריה-פתח תקווה<->מסוף וולפסון-חולון-1#,15145-1-#,3,
16305,3,145,תחנה תפעולית מסוף וולפסון-חולון<->רכבת קריית אריה/חנה וסע-פתח תקווה-2#,15145-2-#,3,
16306,3,55,יהונתן/בן גוריון-רחובות<->עוקשי/גולדה מאיר-רחובות-2#,43055-2-#,3,FF9933
16307,3,22,שדרות ניל''י/האורנים-זכרון יעקב<->תיכון המושבה/חלומות-זכרון יעקב-1#,32022-1-#,3,FF9933
16308,3,24,הנרקיס/הסביון-זכרון יעקב<->תיכון המושבה/חלומות-זכרון יעקב-1#,34024-1-#,3,FF9933
16317,18,151,שושנה דמארי/אהוד מנור-רמלה<->שדרות רחבעם זאבי-ראשון לציון-10,16151-1-0,3,
16318,18,151,שדרות רחבעם זאבי-ראשון לציון<->שושנה דמארי/אהוד מנור-רמלה-20,16151-2-0,3,
16325,18,27,מוריה/הכרמל-חשמונאים<->שדרות החשמונאים/לב העיר-מודיעין מכבים רעות-21,22027-2-1,3,
16326,24,13,דרך היין/דרך השמן-קצרין<->קלע אלון-קלע-13,34013-1-3,3,
16331,18,160,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות<->הפקולטה לחקלאות-רחובות-10,12160-1-0,3,
16332,18,160,הפקולטה לחקלאות-רחובות<->שדרות החשמונאים/לב העיר-מודיעין מכבים רעות-20,12160-2-0,3,
16335,25,548,שדרות ירושלים/חנה סנש-קרית מלאכי<->בית ספר לבנות בית רבקה-כפר חב''ד-10,10548-1-0,3,FF9933
16336,25,548,בית ספר לבנות בית רבקה-כפר חב''ד<->שדרות ירושלים/ז'בוטינסקי-קרית מלאכי-20,10548-2-0,3,FF9933
16351,16,77,בית ספר בית יוסף-טבריה<->וינגייט/לח''י-טבריה-20,37077-2-0,3,FF9933
16352,15,91,השונית/יורדי ים-הרצליה<->מסוף הטייסים-תל אביב יפו-1#,40091-1-#,3,
16353,15,91,מסוף הטייסים-תל אביב יפו<->השונית/יורדי ים-הרצליה-2#,40091-2-#,3,
16359,18,290,בית ספר משמרת מאיר-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-11,13290-1-1,3,
16360,18,291,זוועהיל א-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-11,12291-1-1,3,
16361,18,292,קדושת לוי/המהרי''ץ-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-11,12292-1-1,3,
16362,18,292,מעזריטש/ מהרי''ץ-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-12,12292-1-2,3,
16363,18,293,דרכי איש/הרב ברוק-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-11,12293-1-1,3,
16364,18,293,יסוד העבודה/פחד יצחק-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-12,12293-1-2,3,
16365,18,294,חיי יצחק/הרב בנדר-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-11,12294-1-1,3,
16366,18,27,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות<->מוריה/הכרמל-חשמונאים-11,22027-1-1,3,
16377,3,144,אוניברסיטה/רב תכליתי-חיפה<->שאגאל/סזאן-קרית אתא-1#,15144-1-#,3,
16378,3,144,טולוז/מנחם בגין-קרית אתא<->אוניברסיטה/רב תכליתי-חיפה-2#,15144-2-#,3,
16379,3,434,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->ת. מרכזית טבריה/הורדה-טבריה-1#,11434-1-#,3,
16380,3,434,ת. מרכזית טבריה/רציפים-טבריה<->ת. מרכזית המפרץ/הורדה-חיפה-2#,11434-2-#,3,
16381,3,503,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->קניון לב קצרין-קצרין-1#,12503-1-#,3,
16382,3,503,שיאון/טיילת נווה-קצרין<->ת. מרכזית המפרץ/הורדה-חיפה-2#,12503-2-#,3,
16384,3,27,ת. מרכזית המפרץ/רציפים עירוני-חיפה<->שאגאל/סזאן-קרית אתא-1#,30027-1-#,3,
16385,3,27,טולוז/מנחם בגין-קרית אתא<->ת. מרכזית המפרץ/הורדה-חיפה-2#,30027-2-#,3,
16386,3,137,אוניברסיטה/רב תכליתי-חיפה<->מרכזית הקריות/הורדה-קרית מוצקין-1#,14137-1-#,3,
16387,3,137,מרכזית הקריות/איסוף-קרית מוצקין<->אוניברסיטה/רב תכליתי-חיפה-2#,14137-2-#,3,
16391,25,142,ת. מרכזית אשדוד/רציפים-אשדוד<->מסוף קסטינה-מלאכי/הורדה ואילת-באר טוביה-1#,17142-1-#,3,
16392,25,142,מסוף קסטינה-מלאכי/הורדה ואילת-באר טוביה<->ת. מרכזית אשדוד-אשדוד-2#,17142-2-#,3,
16393,25,9,הרב שלום שבזי/שילה-ראש העין<->אזור תעשיה-ראש העין-10,46009-1-0,3,
16394,25,9,המרץ/היצירה-ראש העין<->הרב שלום שבזי/שילה-ראש העין-20,46009-2-0,3,
16422,24,41,אלמגור מרכז-אלמגור<->מסוף חצור הגלילית/הורדה-חצור הגלילית-10,29041-1-0,3,
16423,24,41,מסוף חצור הגלילית/רציפים-חצור הגלילית<->אלמגור מרכז-אלמגור-20,29041-2-0,3,
16424,24,44,גדות מרכז-גדות<->מסוף חצור הגלילית/הורדה-חצור הגלילית-10,33044-1-0,3,
16425,24,44,מסוף חצור הגלילית/רציפים-חצור הגלילית<->גדות מרכז-גדות-20,33044-2-0,3,
16426,24,143,ת. מרכזית צפת/רציפים-צפת<->קניון לב קצרין-קצרין-20,16143-2-0,3,
16443,3,970,תחנה תפעולית/נחל גיבורים-חיפה<->חזון אי''ש/האדמור מנדבורנא-בני ברק-28,10970-2-8,3,
16445,3,972,תחנה תפעולית/נחל גיבורים-חיפה<->מרכז תחבורתי הארזים/הורדה-ירושלים-28,10972-2-8,3,
16479,18,89,בי''ס אריאל ממ''ד/דרך מנחם בגין-מודיעין מכבים רעות<->נהר הירדן/מעלה עמיעז-מודיעין מכבים רעות-20,10889-2-0,3,FF9933
16490,15,387,ת. מרכזית ערד/רציפים-ערד<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,12387-2-#,3,
16491,18,454,יהודה שטיין/שד. דוד רזיאל-רמלה<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-12,11454-1-2,3,
16493,7,14,ביג פאשן/עיריית נצרת-נצרת<->טבאש ב-כעביה טבאש חג'אג'רה-1#,47014-1-#,3,
16494,7,14,טבאש ב-כעביה טבאש חג'אג'רה<->ביג פאשן/עיריית נצרת-נצרת-2#,47014-2-#,3,
16495,7,833,דליה/כליל החורש-נוף הגליל<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-1#,11833-1-#,3,
16497,7,833,ת. רכבת תל אביב - סבידור/דרך נמיר-תל אביב יפו<->דליה/רותם-נוף הגליל-2#,11833-2-#,3,
16514,16,9,הגליל/הגולן-נופית<->ת. רכבת כפר יהושע/הורדה-כפר יהושע-12,20009-1-2,3,
16515,16,9,ת. רכבת כפר יהושע/איסוף-כפר יהושע<->קופת חולים/הגליל-נופית-22,20009-2-2,3,
16517,18,80,קדושת לוי / הרב שך-ביתר עילית<->בית כנסת סלונים/מפעל הש''ס-ביתר עילית-21,42080-2-1,3,FF9933
16523,31,1,המעפילים/דניאל-שדרות<->מסוף אזור התעשייה/רומא-שדרות-1#,39001-1-#,3,
16524,31,1,מסוף אזור התעשייה/רומא-שדרות<->המעפילים/דניאל-שדרות-2#,39001-2-#,3,
16527,31,12,מסוף מועצה אזורית אשכול/רציפים-אשכול<->פריגן מרכז-פרי גן-1#,20012-1-#,3,
16528,31,12,פריגן מרכז-פרי גן<->מסוף מועצה אזורית אשכול/רציפים-אשכול-2#,20012-2-#,3,
16529,31,13,מסוף מועצה אזורית אשכול/רציפים-אשכול<->אוהד-אוהד-1#,19013-1-#,3,
16530,31,13,אוהד-אוהד<->מסוף מועצה אזורית אשכול/רציפים-אשכול-2#,19013-2-#,3,
16531,31,14,מסוף מועצה אזורית אשכול/רציפים-אשכול<->צאלים מרכז-צאלים-1#,19014-1-#,3,
16532,31,14,צאלים מרכז-צאלים<->מסוף מועצה אזורית אשכול/רציפים-אשכול-2#,19014-2-#,3,
16533,31,15,מסוף מועצה אזורית אשכול/רציפים-אשכול<->כסופים-כיסופים-1#,18015-1-#,3,
16534,31,15,כסופים-כיסופים<->מסוף מועצה אזורית אשכול/רציפים-אשכול-2#,18015-2-#,3,
16538,31,30,ת. רכבת אופקים רציפים/בינעירוני-אופקים<->בא''פ/מל''י-אשכול-1#,15030-1-#,3,
16539,31,30,בא''פ/מל''י-אשכול<->ת. רכבת אופקים/הורדה-אופקים-2#,15030-2-#,3,
16542,31,47,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. רכבת להבים רהט-להבים-1#,14047-1-#,3,
16543,31,47,ת. רכבת להבים רהט-להבים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,14047-2-#,3,
16544,31,363,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת.מרכזית באר שבע/הורדה-באר שבע-1#,11363-1-#,3,
16545,31,363,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת.מרכזית אשקלון/הורדה-אשקלון-2#,11363-2-#,3,
16550,31,379,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מסוף מועצה אזורית אשכול/רציפים-אשכול-1#,10379-1-#,3,
16551,31,36,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->מסוף מועצה אזורית אשכול/רציפים-אשכול-1#,14036-1-#,3,
16552,31,36,מסוף מועצה אזורית אשכול/רציפים-אשכול<->ת.מרכזית אשקלון/הורדה-אשקלון-2#,14036-2-#,3,
16553,31,325,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->יצחק שמיר/אחת עשרה נקודות-נתיבות-1#,11325-1-#,3,
16554,31,325,אחת עשרה נקודות/יצחק שמיר-נתיבות<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,11325-2-#,3,
16555,31,71,מרכז ביג קסטינה-קרית מלאכי<->אל עזי ב-אל עזי-1#,26071-1-#,3,
16556,31,71,אל עזי ב-אל עזי<->מרכז ביג קסטינה-קרית מלאכי-2#,26071-2-#,3,
16557,31,1,מרכז ביג קסטינה-קרית מלאכי<->שדרות אריק שרון-קרית מלאכי-1#,94001-1-#,3,
16558,31,1,שדרות אריק שרון-קרית מלאכי<->מרכז ביג קסטינה-קרית מלאכי-2#,94001-2-#,3,
16559,31,1,שוק עירוני חדש-נתיבות<->ת.רכבת נתיבות/רציפים-נתיבות-1#,95001-1-#,3,
16561,31,1,ת.רכבת נתיבות/רציפים-נתיבות<->שוק עירוני חדש-נתיבות-2#,95001-2-#,3,
16563,31,10,מסוף מועצה אזורית אשכול/רציפים-אשכול<->בני נצרים-בני נצרים-1#,44010-1-#,3,
16564,31,10,בני נצרים-בני נצרים<->מסוף מועצה אזורית אשכול/רציפים-אשכול-2#,44010-2-#,3,
16565,31,12,שדרות ישראל פולק/שבט-קרית גת<->ת. מרכזית קריית גת/הורדה-קרית גת-1#,47012-1-#,3,
16566,31,12,ת. מרכזית קרית גת/רציפים-קרית גת<->פולק/טבת-קרית גת-2#,47012-2-#,3,
16567,31,134,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->הזית/החיטה-פטיש-1#,12134-1-#,3,
16568,31,134,הזית/החיטה-פטיש<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,12134-2-#,3,
16569,31,135,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->בני נצרים-בני נצרים-1#,18135-1-#,3,
16570,31,135,בני נצרים-בני נצרים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,18135-2-#,3,
16571,31,136,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->בני נצרים-בני נצרים-1#,15136-1-#,3,
16572,31,136,בני נצרים-בני נצרים<->ת.מרכזית אשקלון/הורדה-אשקלון-2#,15136-2-#,3,
16573,31,15,שפירא/התקווה-אשקלון<->רכבת אשקלון/הורדה-אשקלון-1#,61015-1-#,3,33CC33
16574,31,15,ת. רכבת אשקלון/רציפים-אשקלון<->שד. אליעזר בן יהודה/עולי הגרדום-אשקלון-2#,61015-2-#,3,33CC33
16575,31,164,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->אמציה/מרכז-אמציה-1#,12164-1-#,3,
16576,31,164,אמציה/מרכז-אמציה<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,12164-2-#,3,
16577,31,18,ת. מרכזית קרית גת/רציפים-קרית גת<->ת. מרכזית קריית גת/הורדה-קרית גת-3#,44018-3-#,3,
16578,31,2,מרכז ביג קסטינה-קרית מלאכי<->שדרות אריק שרון-קרית מלאכי-1#,75002-1-#,3,
16579,31,2,שדרות אריק שרון-קרית מלאכי<->מרכז ביג קסטינה-קרית מלאכי-2#,75002-2-#,3,
16582,31,240,מרכז מסחרי/דרך מנחם בגין-שדרות<->ת. מרכזית קריית גת/הורדה-קרית גת-1#,12240-1-#,3,
16583,31,240,ת. מרכזית קרית גת/רציפים-קרית גת<->מרכז מסחרי/דרך מנחם בגין-שדרות-2#,12240-2-#,3,
16584,31,25,תחנה רכבת שדרות/רציפים-שדרות<->ת.רכבת נתיבות/רציפים-נתיבות-1#,27025-1-#,3,
16585,31,25,ת.רכבת נתיבות/רציפים-נתיבות<->תחנה רכבת שדרות/רציפים-שדרות-2#,27025-2-#,3,
16586,31,250,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת. מרכזית קריית גת/הורדה-קרית גת-1#,13250-1-#,3,
16587,31,250,ת. מרכזית קרית גת/רציפים-קרית גת<->ת.מרכזית אשקלון/הורדה-אשקלון-2#,13250-2-#,3,
16590,31,252,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->תחנה מרכזית/שדרות העצמאות-קרית גת-1#,11252-1-#,3,
16591,31,252,ת. מרכזית קרית גת/רציפים-קרית גת<->ת.מרכזית אשקלון/הורדה-אשקלון-2#,11252-2-#,3,
16592,31,26,מרכז מסחרי/דרך מנחם בגין-שדרות<->זוהר מרכז-זוהר-1#,30026-1-#,3,
16593,31,26,זוהר מרכז-זוהר<->מרכז מסחרי/דרך מנחם בגין-שדרות-2#,30026-2-#,3,
16594,31,27,מכללת ספיר/בריסל-שער הנגב<->ארז/מרכז-ארז-1#,27027-1-#,3,
16595,31,27,ארז/מרכז-ארז<->מכללת ספיר/בריסל-שער הנגב-2#,27027-2-#,3,
16596,31,3,תחנת רכבת קריית גת/יציאה-קרית גת<->מסוף כרמי גת/הורדה-קרית גת-1#,81003-1-#,3,
16597,31,3,מסוף כרמי גת/איסוף-קרית גת<->תחנת רכבת קריית גת/כניסה-קרית גת-2#,81003-2-#,3,
16598,31,31,מסוף פארק אופקים-אופקים<->אור החיים/יציאה-תפרח-1#,27031-1-#,3,
16599,31,31,אור החיים/יציאה-תפרח<->פארק אופקים-אופקים-2#,27031-2-#,3,
16602,31,323,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->יצחק שמיר/אחת עשרה נקודות-נתיבות-1#,12323-1-#,3,
16603,31,323,אחת עשרה נקודות/יצחק שמיר-נתיבות<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,12323-2-#,3,
16606,31,330,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->פארק אופקים-אופקים-1#,14330-1-#,3,
16607,31,330,מסוף פארק אופקים-אופקים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,14330-2-#,3,
16608,31,332,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->פארק אופקים-אופקים-1#,16332-1-#,3,
16609,31,332,מסוף פארק אופקים-אופקים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,16332-2-#,3,
16610,31,34,צרכניה/גילת-גילת<->הזית/החיטה-פטיש-1#,25034-1-#,3,
16611,31,34,הזית/החיטה-פטיש<->גילת/צרכניה-גילת-2#,25034-2-#,3,
16612,31,361,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת.מרכזית באר שבע/הורדה-באר שבע-1#,12361-1-#,3,
16613,31,361,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת.מרכזית אשקלון/הורדה-אשקלון-2#,12361-2-#,3,
16616,31,4,שוק עירוני חדש-נתיבות<->ת.רכבת נתיבות/רציפים-נתיבות-1#,72004-1-#,3,
16617,31,4,ת.רכבת נתיבות/רציפים-נתיבות<->שוק עירוני חדש-נתיבות-2#,72004-2-#,3,
16618,31,40,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->מחנה חצרים-מרחבים-1#,31040-1-#,3,
16619,31,40,מחנה חצרים-מרחבים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,31040-2-#,3,
16620,31,41,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->מחנה חצרים-מרחבים-1#,26041-1-#,3,
16622,31,41,מחנה חצרים-מרחבים<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,26041-2-#,3,
16625,31,442,קדושת לוי/שלום רב-ביתר עילית<->ת.רכבת נתיבות/רציפים-נתיבות-1#,11442-1-#,3,
16626,31,442,ת.רכבת נתיבות/רציפים-נתיבות<->קדושת לוי/אוהל שרה-ביתר עילית-2#,11442-2-#,3,
16627,31,445,מסוף הרכבת/איסוף-בית שמש<->ת.רכבת נתיבות/רציפים-נתיבות-1#,11445-1-#,3,
16628,31,445,ת.רכבת נתיבות/רציפים-נתיבות<->מסוף הרכבת/הורדה-בית שמש-2#,11445-2-#,3,
16629,31,464,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת.מרכזית באר שבע/הורדה-באר שבע-1#,15464-1-#,3,
16630,31,464,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת.מרכזית אשקלון/הורדה-אשקלון-2#,15464-2-#,3,
16631,31,465,מקיף א'/מורדי הגטאות-אשדוד<->פארק אופקים-אופקים-1#,12465-1-#,3,
16632,31,465,מסוף פארק אופקים-אופקים<->מקיף א'/מורדי הגטאות-אשדוד-2#,12465-2-#,3,
16635,31,5,שוק עירוני חדש-נתיבות<->ת.רכבת נתיבות/רציפים-נתיבות-1#,70005-1-#,3,
16636,31,5,ת.רכבת נתיבות/רציפים-נתיבות<->שוק עירוני חדש-נתיבות-2#,70005-2-#,3,
16637,31,51,ת.רכבת נתיבות/רציפים-נתיבות<->קופ''ח כללית/זרועה-זרועה-1#,28051-1-#,3,
16638,31,51,מקווה/זרועה-זרועה<->ת.רכבת נתיבות/רציפים-נתיבות-2#,28051-2-#,3,
16639,31,52,ת.רכבת נתיבות/רציפים-נתיבות<->צומת בית קמה למזרח-בית קמה-1#,27052-1-#,3,
16640,31,52,צומת בית קמה למזרח-בית קמה<->ת.רכבת נתיבות/רציפים-נתיבות-2#,27052-2-#,3,
16641,31,53,ת.רכבת נתיבות/רציפים-נתיבות<->צומת בית קמה למזרח-בית קמה-1#,28053-1-#,3,
16642,31,53,צומת בית קמה למזרח-בית קמה<->ת.רכבת נתיבות/רציפים-נתיבות-2#,28053-2-#,3,
16643,31,54,ת.רכבת נתיבות/רציפים-נתיבות<->שיבולים כניסה-שדות נגב-1#,25054-1-#,3,
16644,31,54,שיבולים כניסה-שדות נגב<->ת.רכבת נתיבות/רציפים-נתיבות-2#,25054-2-#,3,
16645,31,55,ת.רכבת נתיבות/רציפים-נתיבות<->שוקדה-שוקדה-1#,35055-1-#,3,
